,category,subcategory,topic,url
200,game,racing,Crumple Zone,https://store.steampowered.com/app/785760/Crumple_Zone/?snr=1_tags_4__105
201,game,racing,Razortron 2084,https://store.steampowered.com/app/1052650/Razortron_2084/?snr=1_tags_4__105
202,game,racing,VR Racing,https://store.steampowered.com/app/1018870/VR_Racing/?snr=1_tags_4__105
203,game,racing,Zero Zero Zero Zero,https://store.steampowered.com/app/639880/Zero_Zero_Zero_Zero/?snr=1_tags_4__105
204,game,racing,Transporter Truck Simulator,https://store.steampowered.com/app/1091570/Transporter_Truck_Simulator/?snr=1_tags_4__105
205,game,racing,Drone Spektra,https://store.steampowered.com/app/905390/Drone_Spektra/?snr=1_tags_4__105
206,game,racing,Wheelie King VR,https://store.steampowered.com/app/1079420/Wheelie_King_VR/?snr=1_tags_4__105
207,game,racing,Car Mechanic Flipper,https://store.steampowered.com/app/636790/Car_Mechanic_Flipper/?snr=1_tags_4__105
208,game,racing,Fromto,https://store.steampowered.com/app/916180/Fromto/?snr=1_tags_4__105
209,game,racing,RDS - The Official Drift Videogame,https://store.steampowered.com/app/934930/RDS__The_Official_Drift_Videogame/?snr=1_tags_4__105
210,game,simulation,Deep Diving Simulator,https://store.steampowered.com/app/990030/Deep_Diving_Simulator/?snr=1_tags_4__103
211,game,simulation,Railroad Corporation,https://store.steampowered.com/app/797400/Railroad_Corporation/?snr=1_tags_4__103
212,game,simulation,My House,https://store.steampowered.com/app/895060/My_House/?snr=1_tags_4__103
213,game,simulation,Constructor Plus,https://store.steampowered.com/app/898800/Constructor_Plus/?snr=1_tags_4__103
214,game,simulation,AntQueen 3D,https://store.steampowered.com/app/1058740/AntQueen_3D/?snr=1_tags_4__103
215,game,simulation,XERA: Survival,https://store.steampowered.com/app/625340/XERA_Survival/?snr=1_tags_4__103
216,game,simulation,China: Mao's legacy,https://store.steampowered.com/app/950740/China_Maos_legacy/?snr=1_tags_4__103
217,game,simulation,Interstellar Transport Company,https://store.steampowered.com/app/573490/Interstellar_Transport_Company/?snr=1_tags_4__103
218,game,simulation,ZELENSKY vs POROSHENKO: The Destiny of Ukraine,https://store.steampowered.com/app/1069320/ZELENSKY_vs_POROSHENKO_The_Destiny_of_Ukraine/?snr=1_tags_4__103
219,game,simulation,Fantasy Hero Manager,https://store.steampowered.com/app/1083850/Fantasy_Hero_Manager/?snr=1_tags_4__103
220,game,simulation,??-Reverse Memories-,https://store.steampowered.com/app/1036690/Reverse_Memories/?snr=1_tags_4__103
221,game,simulation,Gladiabots,https://store.steampowered.com/app/871930/Gladiabots/?snr=1_tags_4__103
222,game,simulation,Mechanic Miner,https://store.steampowered.com/app/745010/Mechanic_Miner/?snr=1_tags_4__103
223,game,simulation,"Sometimes to Deal with the Difficulty of Being Alive, I Need to Believe There Is a Possibility That Life Is Not Real.",https://store.steampowered.com/app/789380/Sometimes_to_Deal_with_the_Difficulty_of_Being_Alive_I_Need_to_Believe_There_Is_a_Possibility_That_Life_Is_Not_Real/?snr=1_tags_4__103
224,game,simulation,Sage Mountain,https://store.steampowered.com/app/1062850/Sage_Mountain/?snr=1_tags_4__103
